Policy_ID,Customer_ID,Age_of_Driver,Gender,Occupation,Region,Annual_Mileage,Driving_Experience_Years,Vehicle_Type,Vehicle_Age,Credit_Score_Band
POL10000,CUST20000,56,Female,Retired,Newcastle,7552,36,Sedan,10,Fair
POL10001,CUST20001,53,Female,Unemployed,Bristol,13275,31,Motorcycle,11,Poor
POL10002,CUST20002,19,Female,Unemployed,London,12967,0,Sedan,9,Excellent
POL10003,CUST20003,77,Female,Retired,Birmingham,4346,56,Hatchback,2,Fair
POL10004,CUST20004,24,Male,Employed,Manchester,9598,2,Sedan,14,Good
POL10005,CUST20005,61,Male,Retired,Birmingham,15789,43,Sedan,7,Fair
POL10006,CUST20006,79,Female,Retired,Glasgow,12874,58,Sedan,7,Fair
POL10007,CUST20007,62,Female,Self-Employed,Newcastle,15527,43,Motorcycle,12,Excellent
POL10008,CUST20008,32,Male,Employed,Leeds,4497,12,Sedan,7,Fair
POL10009,CUST20009,50,Male,Employed,Leeds,6532,31,Sedan,6,Fair
POL10010,CUST20010,29,Female,Employed,Leeds,7574,9,SUV,2,Good
POL10011,CUST20011,54,Male,Unemployed,London,7215,32,SUV,13,Good
POL10012,CUST20012,26,Male,Employed,Edinburgh,6477,8,Hatchback,3,Poor
POL10013,CUST20013,40,Male,Employed,Glasgow,10876,18,Sedan,18,Excellent
POL10014,CUST20014,19,Female,Employed,Cardiff,11578,0,Sedan,10,Good
POL10015,CUST20015,72,Female,Retired,London,8178,54,Sedan,19,Good
POL10016,CUST20016,20,Male,Student,Cardiff,19780,1,Hatchback,14,Excellent
POL10017,CUST20017,49,Female,Employed,Glasgow,11386,31,Sedan,19,Excellent
POL10018,CUST20018,56,Female,Unemployed,Liverpool,12240,34,Hatchback,0,Excellent
POL10019,CUST20019,19,Male,Student,Bristol,21852,0,Sedan,16,Fair
POL10020,CUST20020,41,Male,Self-Employed,Bristol,16872,23,Sedan,5,Good
POL10021,CUST20021,20,Female,Student,Glasgow,10442,0,SUV,18,Good
POL10022,CUST20022,24,Female,Student,Newcastle,14482,6,SUV,17,Poor
POL10023,CUST20023,47,Female,Employed,Edinburgh,11356,29,Hatchback,16,Excellent
POL10024,CUST20024,65,Female,Self-Employed,Liverpool,11412,47,Hatchback,15,Fair
POL10025,CUST20025,37,Female,Employed,London,12722,16,Sedan,7,Fair
POL10026,CUST20026,57,Female,Self-Employed,Cardiff,12699,37,SUV,8,Excellent
POL10027,CUST20027,21,Male,Student,Glasgow,7132,1,SUV,0,Good
POL10028,CUST20028,76,Male,Retired,Bristol,15514,56,Hatchback,20,Good
POL10029,CUST20029,45,Male,Employed,Liverpool,11041,24,SUV,18,Good
POL10030,CUST20030,66,Female,Retired,Liverpool,13308,44,Van,16,Good
POL10031,CUST20031,48,Male,Student,Glasgow,14026,26,Hatchback,0,Good
POL10032,CUST20032,35,Male,Employed,Bristol,14520,16,SUV,1,Excellent
POL10033,CUST20033,59,Female,Employed,Newcastle,19051,41,Sedan,15,Good
POL10034,CUST20034,59,Male,Employed,Manchester,14060,37,Sedan,7,Fair
POL10035,CUST20035,33,Female,Unemployed,Leeds,27410,12,SUV,18,Good
POL10036,CUST20036,79,Male,Retired,Edinburgh,10112,58,Hatchback,7,Fair
POL10037,CUST20037,61,Female,Self-Employed,Glasgow,16355,39,Sedan,14,Good
POL10038,CUST20038,57,Female,Employed,Manchester,3899,39,Hatchback,18,Good
POL10039,CUST20039,72,Female,Retired,Liverpool,12745,54,SUV,0,Excellent
POL10040,CUST20040,18,Male,Student,Bristol,15781,0,SUV,6,Good
POL10041,CUST20041,22,Female,Employed,Birmingham,17065,1,SUV,18,Fair
POL10042,CUST20042,74,Male,Retired,Liverpool,10877,53,Sedan,15,Excellent
POL10043,CUST20043,65,Male,Retired,London,9584,43,Hatchback,9,Poor
POL10044,CUST20044,53,Female,Employed,Edinburgh,12234,35,Hatchback,12,Excellent
POL10045,CUST20045,41,Female,Self-Employed,London,21391,20,SUV,19,Good
POL10046,CUST20046,67,Male,Retired,London,13924,46,Hatchback,0,Good
POL10047,CUST20047,60,Female,Employed,Manchester,13868,38,Sedan,2,Good
POL10048,CUST20048,43,Female,Employed,Edinburgh,9511,21,Hatchback,10,Fair
POL10049,CUST20049,53,Male,Retired,Cardiff,10578,32,Sedan,8,Good
POL10050,CUST20050,52,Male,Unemployed,Glasgow,17110,30,Sedan,12,Fair
POL10051,CUST20051,52,Male,Employed,London,9633,31,Coupe,12,Fair
POL10052,CUST20052,66,Female,Retired,Cardiff,10354,45,Motorcycle,19,Good
POL10053,CUST20053,64,Female,Employed,Birmingham,15936,43,Hatchback,20,Fair
POL10054,CUST20054,40,Female,Self-Employed,Liverpool,9203,21,Hatchback,10,Fair
POL10055,CUST20055,64,Female,Self-Employed,Edinburgh,11964,43,Van,5,Excellent
POL10056,CUST20056,30,Female,Employed,Manchester,5673,8,Hatchback,19,Excellent
POL10057,CUST20057,24,Male,Self-Employed,Glasgow,12316,3,Sedan,11,Good
POL10058,CUST20058,44,Female,Unemployed,Leeds,5654,25,Hatchback,19,Excellent
POL10059,CUST20059,78,Male,Retired,London,10311,58,SUV,16,Excellent
POL10060,CUST20060,50,Female,Employed,Edinburgh,12896,28,Sedan,18,Poor
POL10061,CUST20061,35,Male,Self-Employed,London,12050,13,SUV,2,Poor
POL10062,CUST20062,74,Male,Retired,Newcastle,8497,52,Sedan,3,Good
POL10063,CUST20063,75,Female,Retired,Liverpool,11060,57,Sedan,16,Excellent
POL10064,CUST20064,70,Female,Retired,Birmingham,14967,51,Sedan,17,Good
POL10065,CUST20065,22,Male,Student,Bristol,17906,4,Hatchback,14,Excellent
POL10066,CUST20066,38,Female,Employed,Bristol,13034,20,Hatchback,2,Excellent
POL10067,CUST20067,38,Female,Employed,London,16930,16,Motorcycle,5,Poor
POL10068,CUST20068,40,Male,Self-Employed,Edinburgh,10199,22,Sedan,18,Excellent
POL10069,CUST20069,21,Female,Self-Employed,Newcastle,14491,2,Hatchback,7,Excellent
POL10070,CUST20070,75,Female,Retired,Birmingham,16717,54,SUV,16,Excellent
POL10071,CUST20071,64,Male,Unemployed,Liverpool,12270,45,Coupe,6,Excellent
POL10072,CUST20072,77,Female,Retired,Manchester,15293,57,Van,19,Good
POL10073,CUST20073,50,Female,Unemployed,Leeds,20209,31,Van,4,Fair
POL10074,CUST20074,27,Female,Unemployed,London,10874,8,SUV,1,Good
POL10075,CUST20075,60,Male,Employed,Birmingham,5341,42,Hatchback,15,Excellent
