iter	RMSE
0	0.9632627835
1	0.9279755152
2	0.8950366377
3	0.8665309188
4	0.8384692057
5	0.8169539631
6	0.7926980253
7	0.7756219015
8	0.7523683076
9	0.7352585017
10	0.7147468474
11	0.6966961378
12	0.6777875081
13	0.6611605238
14	0.6472090869
15	0.6300499366
16	0.6164824895
17	0.600204394
18	0.5865681086
19	0.5756673543
20	0.5654407212
21	0.552566153
22	0.5436818716
23	0.5348309101
24	0.5255812894
25	0.5185534763
26	0.5111866196
27	0.5034156116
28	0.4972048971
29	0.4887635296
30	0.4822626364
31	0.4733507251
32	0.4674401757
33	0.4587011708
34	0.450546727
35	0.4415816691
36	0.4331093048
37	0.4259679799
38	0.4214814032
39	0.4175883386
40	0.4127763516
41	0.4092864187
42	0.4018731528
43	0.3949771306
44	0.3882602984
45	0.3849630571
46	0.3789040492
47	0.3742942997
48	0.3696570531
49	0.3650634067
50	0.3620404457
51	0.358232165
52	0.3556419952
53	0.3534440268
54	0.3511463311
55	0.348947917
56	0.3474535107
57	0.3435668401
58	0.3392650697
59	0.3379658964
60	0.3330410726
61	0.3299723836
62	0.3277974517
63	0.3245136455
64	0.3234529264
65	0.3203108894
66	0.3190739392
67	0.3174722786
68	0.3162582202
69	0.3137558754
70	0.3126764975
71	0.3120513468
72	0.3103654586
73	0.3081503566
74	0.3048611807
75	0.3041866976
76	0.3034781525
77	0.3004604813
78	0.2976664602
79	0.2959574971
80	0.2946515178
81	0.2931465175
82	0.2917050428
83	0.2904004074
84	0.2891637399
85	0.2877175287
86	0.2856369318
87	0.2844817683
88	0.2840310435
89	0.283004206
90	0.2816060161
91	0.2804697985
92	0.2793175897
93	0.2786921493
94	0.2780061709
95	0.2774957874
96	0.2772064229
97	0.2767025997
98	0.275793851
99	0.2754528722
100	0.2746457007
101	0.273332393
102	0.2722809038
103	0.2715687261
104	0.2711995308
105	0.2704238543
106	0.2701386268
107	0.2698886092
108	0.2695669853
109	0.2693440171
110	0.2691147945
111	0.2688093197
112	0.2681947783
113	0.2680629785
114	0.2672159362
115	0.2669678127
116	0.2661924064
117	0.2654959869
118	0.2654131602
119	0.265287425
120	0.2648159258
121	0.2646028991
122	0.2644921157
123	0.2638756238
124	0.2632126481
125	0.2630676237
126	0.2628404092
127	0.2627411231
128	0.2626109538
129	0.262507246
130	0.2617402682
131	0.26136609
132	0.2606990482
133	0.2605558324
134	0.2601371399
135	0.2596250069
136	0.2593897365
137	0.2590687893
138	0.258956462
139	0.2586503686
140	0.2583341341
141	0.2581384595
142	0.2580221461
143	0.257932749
144	0.2575815819
145	0.2574892865
146	0.2573240445
147	0.2571663886
148	0.2568389827
149	0.2567611156
150	0.256615806
151	0.2564780131
152	0.2563823871
153	0.2562716383
154	0.2559273533
155	0.255837678
156	0.2555866837
157	0.2553981886
158	0.2553205803
159	0.2551974597
160	0.2551032347
161	0.255020579
162	0.2548475008
163	0.2547672406
164	0.2546856163
165	0.2546173713
166	0.254531778
167	0.2543198756
168	0.2541819443
169	0.2541103727
170	0.2540356035
171	0.2539525485
172	0.2538933722
173	0.2538249687
174	0.2537021244
175	0.2534880219
176	0.2533943751
177	0.2532641539
178	0.2531216901
179	0.2528475923
180	0.2527602895
181	0.2526692857
182	0.2525614714
183	0.2524658011
184	0.2523719451
185	0.2522678508
186	0.2520634573
187	0.2519610562
188	0.2518787202
189	0.2517533458
190	0.2516335837
191	0.2515450698
192	0.2514336415
193	0.2511889381
194	0.251013429
195	0.2509366998
196	0.250848139
197	0.2507179055
198	0.2505419733
199	0.2504216469
200	0.2503087416
201	0.2500905869
202	0.2498256351
203	0.249730206
204	0.2496515568
205	0.2495260987
206	0.2494402335
207	0.2493340144
208	0.2492510132
209	0.2490729445
210	0.2488858264
211	0.2487781401
212	0.2486665269
213	0.2485853922
214	0.2485124684
215	0.2484456937
216	0.2483482372
217	0.2482459717
218	0.2481549032
219	0.2480877196
220	0.2479867149
221	0.247847862
222	0.2477462534
223	0.2476392192
224	0.2474751882
225	0.2473912713
226	0.2472747618
227	0.2472091213
228	0.247112214
229	0.247056163
230	0.2469558694
231	0.2468264966
232	0.2467380892
233	0.2466646971
234	0.246560725
235	0.246387479
236	0.2462925742
237	0.2462109435
238	0.2461112632
239	0.2460236504
240	0.2459267835
241	0.2458105053
242	0.2456810434
243	0.245596495
244	0.2455273577
245	0.2454035779
246	0.2452930337
247	0.2452216654
248	0.2451166891
249	0.2450150419
250	0.2449202161
251	0.2448595924
252	0.2447383024
253	0.2446453014
254	0.2445538726
255	0.2444321747
256	0.2443521132
257	0.2442500131
258	0.2441430638
259	0.2440436783
260	0.2439584848
261	0.2438622442
262	0.243765317
263	0.2436622439
264	0.2435952418
265	0.2435212255
266	0.2434106982
267	0.2433154558
268	0.2432338872
269	0.2431089894
270	0.2429906701
271	0.2429187134
272	0.2428619332
273	0.242791355
274	0.2427093134
275	0.242636603
276	0.2425582907
277	0.2424808618
278	0.242415764
279	0.2423307712
280	0.2422625172
281	0.2421878195
282	0.2421086024
283	0.2420189313
284	0.2419229693
285	0.2418582657
286	0.2417615182
287	0.2416584278
288	0.2415902533
289	0.2414913269
290	0.2414087746
291	0.2412851572
292	0.2412113508
293	0.2410970346
294	0.2409780604
295	0.2409214477
296	0.240825968
297	0.2407634312
298	0.2406695782
299	0.2405437637
