iter	Passed	Remaining
0	11	3355
1	21	3175
2	27	2690
3	34	2567
4	41	2435
5	48	2390
6	54	2299
7	61	2245
8	68	2228
9	75	2177
10	82	2163
11	88	2130
12	95	2100
13	101	2075
14	108	2053
15	115	2046
16	121	2028
17	128	2008
18	135	1997
19	143	2002
20	149	1992
21	158	1997
22	165	1990
23	170	1964
24	176	1946
25	183	1930
26	188	1909
27	195	1899
28	201	1881
29	207	1870
30	214	1862
31	221	1852
32	227	1843
33	233	1827
34	240	1817
35	246	1807
36	252	1795
37	258	1784
38	265	1774
39	272	1769
40	278	1757
41	284	1750
42	292	1746
43	298	1737
44	305	1730
45	311	1720
46	317	1707
47	323	1697
48	329	1686
49	335	1676
50	341	1664
51	346	1654
52	352	1644
53	360	1640
54	366	1631
55	373	1625
56	379	1617
57	385	1608
58	391	1600
59	397	1590
60	404	1584
61	410	1575
62	416	1567
63	422	1558
64	428	1549
65	435	1543
66	441	1533
67	446	1524
68	452	1515
69	458	1507
70	465	1501
71	472	1497
72	478	1489
73	485	1483
74	492	1477
75	499	1472
76	505	1464
77	513	1460
78	520	1456
79	526	1447
80	532	1440
81	538	1431
82	545	1425
83	551	1417
84	559	1415
85	568	1413
86	577	1412
87	583	1406
88	590	1399
89	597	1393
90	603	1386
91	610	1380
92	618	1375
93	624	1369
94	631	1361
95	636	1352
96	642	1345
97	649	1338
98	655	1331
99	662	1324
100	667	1315
101	674	1308
102	680	1301
103	687	1295
104	693	1288
105	700	1282
106	706	1274
107	713	1268
108	721	1263
109	727	1256
110	734	1250
111	741	1244
112	749	1241
113	756	1233
114	762	1226
115	768	1219
116	775	1213
117	783	1208
118	790	1201
119	797	1196
120	803	1189
121	809	1181
122	816	1174
123	822	1167
124	829	1161
125	836	1155
126	844	1150
127	850	1143
128	856	1135
129	862	1128
130	869	1121
131	876	1115
132	882	1108
133	888	1100
134	894	1092
135	900	1085
136	906	1078
137	913	1071
138	919	1065
139	925	1058
140	932	1051
141	938	1044
142	944	1036
143	951	1030
144	956	1022
145	964	1017
146	970	1010
147	976	1003
148	983	996
149	989	989
150	995	982
151	1001	975
152	1007	967
153	1013	961
154	1020	954
155	1026	947
156	1032	940
157	1038	933
158	1045	926
159	1051	919
160	1057	912
161	1063	905
162	1069	898
163	1075	891
164	1081	885
165	1088	878
166	1094	871
167	1100	864
168	1105	857
169	1111	850
170	1117	842
171	1123	835
172	1129	829
173	1135	822
174	1142	815
175	1150	810
176	1157	804
177	1164	797
178	1173	793
179	1188	792
180	1196	786
181	1203	780
182	1212	775
183	1222	770
184	1230	764
185	1239	759
186	1249	754
187	1256	748
188	1265	743
189	1273	737
190	1281	731
191	1286	723
192	1292	716
193	1298	709
194	1303	702
195	1310	695
196	1318	689
197	1332	686
198	1340	680
199	1346	673
200	1352	666
201	1358	659
202	1365	652
203	1371	645
204	1378	638
205	1388	633
206	1394	626
207	1400	619
208	1406	612
209	1411	605
210	1418	598
211	1426	592
212	1433	585
213	1439	578
214	1445	571
215	1451	564
216	1457	557
217	1464	550
218	1470	544
219	1477	537
220	1483	530
221	1489	523
222	1494	516
223	1500	509
224	1507	502
225	1512	495
226	1518	488
227	1524	481
228	1530	474
229	1535	467
230	1541	460
231	1547	453
232	1554	446
233	1560	440
234	1566	433
235	1574	427
236	1580	420
237	1586	413
238	1592	406
239	1598	399
240	1606	393
241	1613	386
242	1621	380
243	1629	373
244	1636	367
245	1643	360
246	1649	353
247	1655	347
248	1661	340
249	1667	333
250	1673	326
251	1679	319
252	1685	313
253	1691	306
254	1697	299
255	1704	292
256	1710	286
257	1715	279
258	1721	272
259	1728	265
260	1735	259
261	1742	252
262	1747	245
263	1753	239
264	1759	232
265	1765	225
266	1771	218
267	1778	212
268	1783	205
269	1789	198
270	1794	192
271	1801	185
272	1806	178
273	1811	171
274	1818	165
275	1823	158
276	1829	151
277	1835	145
278	1840	138
279	1846	131
280	1852	125
281	1858	118
282	1864	112
283	1870	105
284	1876	98
285	1881	92
286	1887	85
287	1893	78
288	1899	72
289	1906	65
290	1912	59
291	1919	52
292	1926	46
293	1933	39
294	1939	32
295	1945	26
296	1953	19
297	1958	13
298	1964	6
299	1970	0
