Claim_ID,Policy_ID,Accident_Date,FNOL_Date,Claim_Type,Claim_Complexity,Fraud_Flag,Litigation_Flag,Estimated_Claim_Amount,Ultimate_Claim_Amount,Severity_Band,Settlement_Date,Status
CLM30000,POL14506,2019-12-19,2019-12-19,Theft,Medium,False,True,5243,2808.0,Minor,2020-03-01,settled
CLM30001,POL14338,2018-12-30,2018-12-31,Collision,Low,False,False,3934,2952.0,Minor,2019-03-23,settled
CLM30002,POL13575,2021-10-19,2021-10-19,Other,Medium,False,False,153631,156497.0,Catastrophic,2022-04-22,settled
CLM30003,POL10138,2021-06-18,2021-06-18,Weather,Low,False,False,2812,1450.0,Minor,2021-09-13,settled
CLM30004,POL12316,2021-03-21,2021-03-24,Theft,Low,False,False,5094,4243.0,Minor,2021-05-26,settled
CLM30005,POL14720,2020-04-12,2020-04-13,Weather,Low,False,False,2568,1796.0,Minor,2020-06-15,settled
CLM30006,POL14632,2019-11-12,2019-11-15,Weather,Medium,False,False,18782,18386.0,Major,2020-05-19,settled
CLM30007,POL12314,2024-10-30,2024-11-02,Fire,Low,False,False,15957,13825.0,Minor,2024-12-22,settled
CLM30008,POL13933,2019-09-10,2019-09-14,Vandalism,Medium,False,False,1357,1013.0,Minor,2020-02-19,settled
CLM30009,POL11507,2025-05-03,2025-05-04,Collision,Low,False,False,2799,1781.0,Minor,2025-06-22,settled
CLM30010,POL14196,2023-06-13,2023-06-14,Collision,Low,False,False,1890,978.0,Minor,2023-08-07,settled
CLM30011,POL14722,2019-01-27,2019-01-28,Collision,Low,False,False,27742,27274.0,Severe,2019-04-18,settled
CLM30012,POL12085,2019-01-19,2019-01-19,Collision,Low,False,False,1442,1075.0,Minor,2019-03-02,settled
CLM30013,POL11147,2019-10-07,2019-10-07,Weather,Low,True,False,6298,4414.0,Moderate,2019-12-15,settled
CLM30014,POL14639,2021-03-02,2021-03-02,Theft,Low,False,False,3911,3464.0,Minor,2021-05-29,settled
CLM30015,POL12259,2021-04-28,2021-04-28,Collision,Medium,False,False,2232,1244.0,Minor,2021-08-08,settled
CLM30016,POL10930,2024-05-19,2024-05-20,Collision,Low,False,True,1703,1276.0,Minor,2024-06-20,settled
CLM30017,POL12157,2025-06-19,2025-06-24,Theft,High,False,False,3686,2232.0,Minor,2026-06-02,settled
CLM30018,POL11969,2019-01-05,2019-01-08,Other,Low,False,False,7159,4833.0,Moderate,2019-02-16,settled
CLM30019,POL12185,2025-01-03,2025-01-03,Fire,High,False,False,254781,240233.0,Severe,2025-11-18,settled
CLM30020,POL11809,2020-12-11,2020-12-14,Weather,Low,False,False,2374,2069.0,Minor,2021-02-24,settled
CLM30021,POL14555,2024-10-29,2024-10-31,Weather,Medium,True,False,14278,14113.0,Major,2025-01-21,settled
CLM30022,POL14382,2023-06-03,2023-06-03,Fire,Low,False,False,13889,10034.0,Minor,2023-07-13,settled
CLM30023,POL14822,2021-03-09,2021-03-09,Collision,Low,False,False,4254,3052.0,Moderate,2021-05-13,settled
CLM30024,POL12207,2023-10-02,2023-10-04,Other,Low,False,False,3023,1872.0,Minor,2023-11-30,settled
CLM30025,POL12068,2025-04-28,2025-04-30,Weather,Low,False,False,2909,2078.0,Minor,2025-06-02,settled
CLM30026,POL14251,2021-11-01,2021-11-01,Weather,Low,False,False,97925,83494.0,Severe,2022-01-20,settled
CLM30027,POL13657,2018-10-15,2018-10-15,Collision,Medium,False,False,22003,20770.0,Severe,2019-04-01,settled
CLM30028,POL14585,2020-07-03,2020-07-10,Collision,Medium,False,False,119420,137304.0,Catastrophic,2021-04-15,settled
CLM30029,POL12010,2023-06-16,2023-06-17,Other,Medium,False,False,7278,4969.0,Moderate,2023-11-22,settled
CLM30030,POL14270,2022-07-13,2022-07-13,Collision,Low,False,False,1950,1209.0,Minor,2022-09-22,settled
CLM30031,POL13910,2021-10-31,2021-10-31,Collision,Low,False,False,1675,1331.0,Minor,2022-01-20,settled
CLM30032,POL13213,2020-06-16,2020-06-17,Collision,Low,False,False,36114,35659.0,Severe,2020-09-25,settled
CLM30033,POL14805,2021-02-16,2021-02-17,Weather,Low,False,False,3064,2310.0,Minor,2021-05-12,settled
CLM30034,POL13557,2022-06-28,2022-06-29,Collision,High,False,False,37914,38582.0,Severe,2022-11-25,settled
CLM30035,POL14048,2019-11-11,2019-11-12,Collision,Low,False,True,1771,1259.0,Minor,2019-12-15,settled
CLM30036,POL11294,2019-10-03,2019-10-04,Collision,Low,False,False,1752,1512.0,Minor,2019-11-19,settled
CLM30037,POL10236,2022-12-23,2022-12-23,Fire,Low,False,False,25318,17243.0,Moderate,2023-03-15,settled
CLM30038,POL14772,2019-10-20,2019-10-20,Other,Low,False,False,2513,1700.0,Minor,2019-11-23,settled
CLM30039,POL11287,2022-09-28,2022-09-28,Collision,Low,False,False,38556,32864.0,Severe,2022-12-27,settled
CLM30040,POL13078,2022-07-28,2022-07-28,Collision,Medium,False,True,168118,170516.0,Catastrophic,2023-02-28,settled
CLM30041,POL10605,2025-06-26,2025-07-03,Weather,Low,False,False,2576,1742.0,Minor,2025-08-03,settled
CLM30042,POL14782,2021-09-06,2021-09-06,Collision,Medium,False,False,13473,11489.0,Major,2021-12-29,settled
CLM30043,POL11804,2019-03-15,2019-03-16,Vandalism,Low,False,False,1275,826.0,Minor,2019-04-26,settled
CLM30044,POL12776,2023-11-13,2023-11-14,Theft,Low,False,False,4899,4150.0,Minor,2023-12-23,settled
CLM30045,POL12517,2024-09-23,2024-09-23,Weather,Low,False,True,4348,2241.0,Minor,2024-12-18,settled
CLM30046,POL10107,2020-02-12,2020-02-18,Collision,Low,False,False,3138,1644.0,Minor,2020-04-09,settled
CLM30047,POL10210,2022-12-17,2022-12-17,Fire,Low,False,False,8069,6740.0,Minor,2023-03-13,settled
CLM30048,POL10634,2019-08-07,2019-08-09,Collision,Low,False,False,1818,2386.0,Minor,2019-11-04,settled
CLM30049,POL14444,2024-11-27,2024-11-29,Weather,Low,False,True,5946,3765.0,Moderate,2024-12-30,settled
